#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
AU|KANBL|-30.58925|121.61459|395.0|Kanowna Belle, WA|2020-06-15T00:00:00.0000|2020-12-31T23:59:59.0000
AU|KDU|-12.6869|132.472702|46.0|Kakadu, NT|2008-11-27T00:00:00.0000|
AU|KELC|-35.979099|136.907806|60.0|Kangaroo Island|2018-06-11T00:00:00.0000|
AU|KIM01|-18.62346|126.86368|314.0|KIM01 GSWA|2021-09-22T00:00:00.0000|
AU|KIM02|-18.91608|125.52719|150.0|KIM02 GSWA|2021-09-09T00:00:00.0000|
AU|KIM03|-18.54578|124.69036|90.0|KIM03 GSWA|2021-09-16T00:00:00.0000|
AU|KIM04|-17.92817|124.81043|133.0|KIM04 GSWA|2021-09-21T00:00:00.0000|
AU|KIM05|-17.99156|124.18922|70.0|KIM05 GSWA|2021-09-21T00:00:00.0000|
AU|KIM06|-18.50626|123.4563|134.0|KIM06 GSWA|2021-09-19T00:00:00.0000|
AU|KIM07|-17.9336|123.1646|79.0|KIM07 GSWA|2021-09-11T00:00:00.0000|
AU|KIM08|-17.32295|124.80778|120.0|KIM08 GSWA|2021-09-24T00:00:00.0000|
AU|KIM09|-17.4795|123.0323|131.0|KIM09 GSWA|2021-09-24T00:00:00.0000|
AU|KIM10|-17.05028|125.70432|312.0|KIM10 GSWA|2021-09-24T00:00:00.0000|
AU|KLBR|-31.591499|117.754601|320.0|Kellerberrin, Western Australia|2003-05-29T00:00:00.0000|
AU|KLGGI|-30.283214|121.761033|385.0|Kalgoorlie Hampton Hill, WA, GSWA|2022-04-21T00:00:00.0000|
AU|KLGHH|-30.750014|121.752683|386.0|Kalgoorlie Hampton Hill, WA ,GSWA network|2022-04-20T00:00:00.0000|
AU|KLGHS|-30.746267|121.473347|386.0|Kalgoorlie Hannans Street, WA GSWA network|2021-12-16T00:00:00.0000|
AU|KMBL|-31.3669|121.8821|370.0|Kambalda, WA|2000-11-27T00:00:00.0000|
AU|KNA|-15.75|128.766693|150.0|Kununurra, Western Australia|2003-04-29T00:00:00.0000|2008-10-16T00:00:00.0000
AU|KNRA|-15.6769|128.762802|126.0|Kununurra, WA|2008-08-21T00:00:00.0000|
AU|KORDA|-30.87687|117.50301|306.0|KORDA- Koorda, Western Australia|2020-05-28T00:00:00.0000|2023-03-23T00:00:00.0000
AU|LAROZ|-15.5729|133.212799|188.0|Larrimah, NT|2018-07-10T00:00:00.0000|2023-06-30T23:59:59.0000
AU|LCRK|-30.447201|138.216202|207.0|Leigh Creek,South Australia|2013-06-16T00:00:00.0000|
AU|LHI|-31.52|159.061295|73.7|Lord Howe Island|2007-07-08T00:00:00.0000|
AU|MABG|-34.0721|150.7601|132.0|Mount Annan Botanical Gardens|2016-08-17T00:00:00.0000|
AU|MANU|-2.0432|147.366196|141.5|Manus Island, Papua New Guinea|2009-05-26T00:00:00.0000|
AU|MAW|-67.603996|62.870998|12.0|Mawson, Antarctica|2003-01-31T00:00:00.0000|
AU|MBWA|-21.159|119.731201|194.0|Marble Bar, Western Australia|2007-01-22T00:00:00.0000|2007-02-15T00:00:00.0000
AU|MCQ|-54.4983|158.9403|14.0|Macquarie Island|2004-06-28T00:00:00.0000|
AU|MEEK|-26.638|118.614998|530.0|Meekatharra, Western Australia|2003-06-25T00:00:00.0000|
AU|MENZ|-29.69411|121.02942|430.0|MENZ – Menzies, WA|2021-12-15T00:00:00.0000|
AU|MGBR|-37.726299|140.5728|186.0|Mount Gambier SA|2018-06-12T00:00:00.0000|
AU|MGCD|-33.2096|151.1092|285.0|ACT|1996-12-10T00:00:00.0000|
AU|MILA|-37.0547|149.155|785.0|Mila, NSW|2006-04-11T00:00:00.0000|
AU|MLBS|-37.82915|144.89437|9.0|Scienceworks Melbourne Urban Monitoring|2013-03-01T00:00:00.0000|
AU|MOO|-42.4417|147.190308|325.0|Moorlands, Tasmania|2005-05-13T00:00:00.0000|
AU|MORW|-29.0683|116.038803|300.0|Morawa, Western Australia|2003-05-26T00:00:00.0000|
AU|MTKN|-31.9333|115.773697|57.0|Mount Kenneth Urban Monitoring, WA|2009-06-27T00:00:00.0000|
AU|MTN|-12.8436|131.132706|137.39999389648438|Manton Dam, Northern Territory|2006-08-11T00:00:00.0000|
AU|MTSU|-18.148199|144.319504|460.0|Mount Surprise, QLD|2002-11-06T00:00:00.0000|
AU|MUKOZ|-26.7575|114.609398|130.0|Meadow Station, WA|2019-03-13T00:00:00.0000|2023-06-30T23:59:59.0000
AU|MULG|-30.281799|134.058502|254.7|Mulgathing, South Australia|2013-05-28T00:00:00.0000|
